center,area,orientation,poly,id,potential_output
"(11.701098354137077, 48.06338431592631)",294.3501029839972,,"[(11.7010069, 48.0634842), (11.7010088, 48.0633458), (11.7010253, 48.0633459), (11.7010263, 48.0632739), (11.7011719, 48.0632748), (11.701171, 48.0633419), (11.7011891, 48.063342), (11.7011871, 48.0634853), (11.7010069, 48.0634842)]",oberbayern-houses_79,44174.59170532338
"(11.446443100000002, 48.81523475000001)",296.58545457571745,,"[(11.4463433, 48.8153222), (11.4463056, 48.8151733), (11.4465429, 48.8151473), (11.4465806, 48.8152962), (11.4463433, 48.8153222)]",oberbayern-houses_378,43976.20827721451
"(11.44878252656821, 48.8136378039798)",295.30449785105884,,"[(11.4489271, 48.8136959), (11.4486562, 48.8137121), (11.448638, 48.8135797), (11.4489088, 48.8135635), (11.4489271, 48.8136959)]",oberbayern-houses_175,43885.93968689048
"(11.445889572120462, 48.81597294611703)",294.94678035750985,,"[(11.4460387, 48.8160246), (11.4457752, 48.8160544), (11.4457404, 48.8159213), (11.446004, 48.8158915), (11.4460387, 48.8160246)]",oberbayern-houses_466,43733.23385750977
"(11.657753495761071, 47.847804024953525)",291.76350790821016,,"[(11.6576031, 47.8478725), (11.6578092, 47.847902), (11.6578886, 47.8477248), (11.6577207, 47.8476964), (11.6576855, 47.8478016), (11.6576317, 47.847793), (11.6576031, 47.8478725)]",oberbayern-houses_867,43392.52771364855
"(11.679948520077701, 48.06928159672635)",288.9378508061491,True,"[(11.6798039, 48.0692986), (11.6798041, 48.0693421), (11.6800934, 48.0693416), (11.680093, 48.0692211), (11.6798036, 48.0692216), (11.6798039, 48.0692986)]",oberbayern-houses_184,43362.34795973282
"(11.447070696318862, 48.8151446372612)",291.9971279874444,,"[(11.4469369, 48.8152264), (11.4469178, 48.8151274), (11.4470322, 48.8151179), (11.4470208, 48.8150589), (11.4471719, 48.8150463), (11.4472023, 48.8152043), (11.4469369, 48.8152264)]",oberbayern-houses_376,43295.87415233832
"(11.451891600000002, 48.81773285000001)",291.8436482027173,,"[(11.4517969, 48.8178219), (11.4517479, 48.8176793), (11.4519863, 48.8176438), (11.4520353, 48.8177864), (11.4517969, 48.8178219)]",oberbayern-houses_870,43273.1169372579
"(11.4512416, 48.8157621)",290.83458956331015,,"[(11.4511751, 48.8158629), (11.4510771, 48.8157437), (11.4513081, 48.8156613), (11.4514061, 48.8157805), (11.4511751, 48.8158629)]",oberbayern-houses_533,43123.49876749981
"(11.451362900000001, 48.815286050000005)",290.5248463265598,,"[(11.4512513, 48.8153684), (11.4515139, 48.815334), (11.4514745, 48.8152037), (11.4512119, 48.8152381), (11.4512513, 48.8153684)]",oberbayern-houses_414,43077.57158907065
"(11.4515656, 48.815653299999994)",290.21712155640125,,"[(11.4514848, 48.8157497), (11.451403, 48.8156274), (11.4516464, 48.8155569), (11.4517282, 48.8156792), (11.4514848, 48.8157497)]",oberbayern-houses_534,43031.943698775394
"(11.448653199999999, 48.81520505)",289.5721103549004,,"[(11.4485451, 48.8152878), (11.4485084, 48.8151519), (11.4487613, 48.8151223), (11.448798, 48.8152582), (11.4485451, 48.8152878)]",oberbayern-houses_392,42936.304662872855
"(11.450985250000002, 48.81320545)",288.60252473922446,,"[(11.4508573, 48.8132757), (11.4508495, 48.8131419), (11.4511132, 48.8131352), (11.451121, 48.813269), (11.4508573, 48.8132757)]",oberbayern-houses_234,42889.94270780799
"(11.4490201, 48.8163156)",289.1506306156516,,"[(11.4489174, 48.8164013), (11.4488713, 48.8162674), (11.4491228, 48.8162299), (11.4491689, 48.8163638), (11.4489174, 48.8164013)]",oberbayern-houses_432,42873.809754535745
"(11.687160123349523, 48.06931448875798)",284.35722472984344,,"[(11.6870852, 48.0692079), (11.6873341, 48.069333), (11.687235, 48.0694211), (11.6869861, 48.0692959), (11.6869999, 48.0692837), (11.6870852, 48.0692079)]",oberbayern-houses_161,42674.91050133125
"(11.68059245, 48.069423900000004)",282.7594571746886,,"[(11.6804871, 48.0693436), (11.6804688, 48.0694916), (11.6806978, 48.0695042), (11.6807161, 48.0693562), (11.6804871, 48.0693436)]",oberbayern-houses_186,42435.12553549139
